GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),GPS Altitude(ft),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Speed (OBD)(mph),Engine RPM(rpm),Engine Coolant Temperature(°C)
Sat Apr 13 15:26:54 CDT 2019,26:54.3,-88.17584665,41.80893944,0,3,174,0,-0.2681506,-0.24899697,9.653421,0.003745556,570.8661461,0.003745556,0.884038866,0,718,-
Sat Apr 13 15:26:55 CDT 2019,26:55.3,-88.17584674,41.80893951,0,3,174,0,-0.22984336,-0.30645782,9.615114,-8.85E-05,570.8661461,-8.85E-05,0.880133927,0,718,-
Sat Apr 13 15:26:56 CDT 2019,26:56.3,-88.17584688,41.80893959,0,3,174,0,-0.2681506,-0.2681506,9.691729,0.004497157,570.8661461,0.004497157,0.887943745,0,718,-
Sat Apr 13 15:26:57 CDT 2019,26:57.3,-88.17584706,41.80893965,0,3,174,0,-0.2873042,-0.2681506,9.557653,0.003494433,570.8661461,0.003494433,0.874276578,0,718,-
Sat Apr 13 15:26:58 CDT 2019,26:58.3,-88.17584723,41.80893974,0,3,174,0,-0.2681506,-0.24899697,9.653421,0.003745556,570.8661461,0.003745556,0.884038866,0,718,-
Sat Apr 13 15:26:59 CDT 2019,26:59.3,-88.1758474,41.80893979,0,3,174,0,-0.24899697,-0.2681506,9.653421,0.003745556,570.8661461,0.003745556,0.884038866,0,718,-
Sat Apr 13 15:27:00 CDT 2019,27:00.3,-88.17584748,41.80893982,0,3,174,0,-0.2873042,-0.24899697,9.691729,0.004055962,570.8661461,0.004055962,0.887943745,0,718,-
Sat Apr 13 15:27:01 CDT 2019,27:01.3,-88.17584756,41.80893984,0,3,174,0,-0.24899697,-0.2873042,9.615114,-1.00E-04,570.8661461,-1.00E-04,0.880133927,0,718,-
Sat Apr 13 15:27:02 CDT 2019,27:02.3,-88.17584774,41.80893978,0,3,174,0,-0.30645782,-0.30645782,9.634268,0.002079547,570.8661461,0.002079546,0.882086396,0,718,-
Sat Apr 13 15:27:03 CDT 2019,27:03.3,-88.17584798,41.80893972,0,3,174,0,-0.2873042,-0.2873042,9.653421,0.003910065,570.8661461,0.003910065,0.884038866,0,718,-
Sat Apr 13 15:27:04 CDT 2019,27:04.3,-88.17584818,41.80893969,0,3,174,0,-0.2681506,-0.30645782,9.653421,0.001414135,570.8661461,0.001414135,0.884038866,0,718,-
Sat Apr 13 15:27:05 CDT 2019,27:05.3,-88.17584833,41.80893964,0,3,174,0,-0.24899697,-0.2681506,9.557653,-0.006009638,570.8661461,-0.006009638,0.874276578,0,718,-
